Time (s),Power (W)
0.0,0.0
0.001,3.788
0.003,3.832
0.004,3.44
0.005,3.924
0.006,3.356
0.007,3.676
0.008,3.52
0.009,3.728
0.011,4.884
0.012,4.692
0.013,4.26
0.014,4.324
0.015,3.696
0.016,3.512
0.017,3.756
0.018,3.632
0.019,3.704
0.022,5.248
0.024,5.008
0.026,5.492
0.028,4.756
0.03,5.212
0.032,4.272
0.034,4.36
0.036,4.62
0.037,3.472
0.038,3.776
0.039,3.488
0.04,3.544
0.041,3.632
0.044,3.416
0.045,3.744
0.046,3.584
0.047,3.636
0.048,3.744
0.05,3.748
0.052,4.524
0.054,5.132
0.056,5.412
0.058,5.1
0.06,5.368
0.061,5.196
0.062,4.396
0.063,4.704
0.064,4.116
0.065,3.324
0.066,3.708
0.067,3.336
0.068,3.656
0.069,3.652
0.07,3.364
0.071,3.748
0.072,3.744
0.073,3.396
0.074,3.756
0.077,3.716
0.079,5.164
0.081,5.348
0.083,4.956
0.085,5.268
0.087,4.936
0.089,4.156
0.09,4.372
0.093,3.8
0.094,3.508
0.095,3.888
0.096,3.472
0.097,3.672
0.098,3.416
0.099,3.744
0.1,3.2
0.101,3.728
0.102,3.448
0.103,3.748
0.105,3.828
0.107,5.228
0.109,5.388
0.111,4.956
0.113,4.92
0.115,5.288
0.116,4.528
0.117,4.272
0.118,4.288
0.119,3.796
0.12,3.5
0.121,3.656
0.123,3.684
0.126,3.428
0.127,3.76
0.128,3.596
0.129,3.664
0.13,3.716
0.131,3.696
0.132,3.324
0.134,4.076
0.136,5.236
0.138,5.204
0.14,5.028
0.142,4.784
0.144,5.144
0.145,4.168
0.147,4.252
0.148,4.268
0.149,3.44
0.15,3.54
0.151,3.84
0.152,4.056
0.153,3.952
0.154,4.068
0.155,3.776
0.156,4.036
0.159,3.592
0.16,3.748
0.162,3.676
0.164,4.68
0.166,5.184
0.168,5.408
0.17,5.008
0.172,5.052
0.173,4.18
0.174,4.496
0.175,4.26
0.178,3.44
0.179,3.776
0.18,3.728
0.181,3.48
0.182,3.688
0.183,3.816
0.184,3.344
0.185,3.8
0.186,3.54
0.187,3.436
0.188,3.704
0.19,4.464
0.192,5.12
0.194,5.14
0.196,5.228
0.198,5.14
0.2,5.164
0.201,4.252
0.202,4.344
0.203,4.064
0.204,3.704
0.205,3.632
0.206,3.596
0.207,3.46
0.21,3.756
0.211,3.492
0.212,3.564
0.213,3.656
0.214,3.724
0.215,3.396
0.217,3.788
0.219,4.904
0.221,5.204
0.223,4.936
0.225,4.72
0.227,5.048
0.228,4.568
0.229,4.416
0.23,4.084
0.231,3.636
0.232,3.572
0.233,3.696
0.234,3.672
0.235,3.468
0.236,3.776
0.237,3.636
0.24,3.388
0.241,3.832
0.242,3.852
0.245,3.716
0.247,5.04
0.249,4.936
0.251,5.5
0.253,5.0
0.255,5.32
0.256,4.948
0.257,4.268
0.258,4.188
0.259,3.912
0.26,3.672
0.261,3.724
0.262,3.232
0.263,3.756
0.264,3.56
0.265,3.44
0.266,3.656
0.267,3.868
0.268,3.436
0.269,3.748
0.27,3.616
0.272,4.772
0.274,5.224
0.276,5.432
0.278,5.02
0.28,5.156
0.282,4.948
0.283,4.208
0.286,3.984
0.289,3.652
0.29,3.808
0.291,3.636
0.292,3.472
0.294,3.656
0.295,3.616
0.296,3.468
0.298,3.356
0.299,3.58
0.3,3.696
0.302,3.612
0.304,4.956
0.306,5.192
0.308,5.092
0.31,4.844
0.312,5.144
0.313,4.536
0.314,4.196
0.315,4.292
0.316,3.796
0.317,3.672
0.318,3.684
0.319,3.488
0.32,3.728
0.321,3.736
0.324,3.256
0.325,3.748
0.326,3.616
0.327,3.584
0.328,3.696
0.33,3.86
0.332,4.936
0.335,5.584
0.337,5.192
0.339,5.3
0.34,4.504
0.341,4.2
0.342,4.18
0.343,3.708
0.344,3.468
0.345,3.488
0.346,3.696
0.347,3.572
0.348,3.56
0.349,3.744
0.35,3.592
0.351,3.42
0.354,3.76
0.355,3.44
0.357,3.492
0.359,5.176
0.361,5.44
0.363,5.264
0.365,4.848
0.367,5.196
0.368,4.576
0.369,4.176
0.37,4.128
0.371,3.848
0.372,3.348
0.373,3.592
0.374,3.744
0.375,3.5
0.376,3.488
0.377,3.676
0.378,3.508
0.379,3.54
0.38,3.724
0.381,3.612
0.383,3.96
0.385,5.0
0.387,5.428
0.389,5.284
0.391,5.06
0.393,5.216
0.394,4.18
0.395,4.208
0.396,4.096
0.399,3.8
0.4,3.54
0.401,3.524
0.402,3.756
0.403,3.676
0.404,3.452
0.405,3.8
0.406,3.428
0.407,3.492
0.408,3.688
0.409,3.716
0.411,4.124
0.413,5.276
0.415,5.256
0.417,5.212
0.419,5.132
0.421,5.172
0.422,4.216
0.423,4.312
0.424,4.504
0.425,4.012
0.426,3.86
0.429,3.96
0.431,4.076
0.432,3.656
0.433,3.452
0.434,3.664
0.435,3.672
0.436,3.16
0.438,3.788
0.439,3.56
0.441,4.176
0.443,4.876
0.445,5.388
0.447,5.216
0.449,4.72
0.451,5.144
0.452,4.516
0.453,4.2
0.454,4.3
0.455,3.46
0.456,3.624
0.457,3.868
0.458,3.572
0.459,3.5
0.462,3.696
0.463,3.396
0.464,3.716
0.465,3.624
0.466,3.696
0.467,3.388
0.469,3.84
0.471,4.856
0.473,5.048
0.475,4.94
0.477,5.032
0.479,5.164
0.481,4.908
0.482,4.16
0.483,4.096
0.484,4.116
0.485,3.584
0.486,3.452
0.487,3.672
0.488,3.816
0.489,3.452
0.49,3.776
0.491,3.672
0.492,3.452
0.495,3.656
0.496,3.756
0.498,3.52
0.5,4.684
0.502,5.564
0.504,5.3
0.506,4.936
0.508,5.228
0.509,4.668
0.51,4.232
0.511,4.3
0.512,3.468
0.513,3.596
0.514,3.676
0.515,3.564
