Time_s,Inference_Only
0.0,-2.516710666237844
0.003,-0.173734760322934
0.007,-0.7361698407632433
0.011,-0.21883597370223518
0.015,0.2762274669928817
0.019,0.044953426331598045
0.023,0.027438431417294407
0.026,0.3005263644437166
0.031,0.7916102631722097
0.034,0.16680044963996377
0.039,-0.7732121758121249
0.916,-0.612140214734632
0.918,-0.3577348209340072
0.921,-0.22506920664217533
0.926,0.23224258217499205
0.931,-0.7869309611320929
0.935,-1.273326644666596
0.938,-0.8169898148652863
0.941,-0.5565208826450712
0.946,-0.09684374324566836
0.949,-0.07494956567057942
0.953,-0.05917628054012036
0.957,-0.6417162517965602
0.961,-1.146515169152368
0.964,-0.7978683513312648
0.969,-0.5336856252985269
0.972,-0.25724061805225684
0.977,-0.08093316805990236
0.98,-0.15063135281870021
0.985,-0.22478790188832498
0.988,-0.907790018569496
0.992,-1.0042962911902151
0.995,-0.7206555158198471
0.998,-0.3756785249663128
1.003,0.0015767311066916534
1.007,-0.10198937225788551
1.01,-0.03024029598637057
1.015,-0.4484417797961999
1.019,-0.9668220565374717
1.024,-1.035657817275184
1.028,-0.5510003641359891
1.032,-0.21579755931034006
1.037,-0.07271137321496202
1.042,-0.07304201442570601
1.047,-0.2425665168453066
1.051,-0.5526909600865131
1.056,-1.112476738391496
1.059,-0.7533847078729581
1.063,-0.35874346056613415
1.068,-0.12119020280973647
1.073,-0.005584237014853333
1.076,-0.06548509075241293
1.081,-0.3672534663673517
1.084,-1.049388527858861
1.088,-1.0873853974659342
1.092,-0.5341251834099006
1.096,-0.1870932983103608
1.1,0.015508137637517017
1.105,-0.028599183458752897
1.11,0.021212916565596984
1.113,-0.5974806520378202
1.118,-1.0518314064310803
1.122,-0.6791842771818852
1.126,-0.1700979251762318
1.129,0.15998629513246732
1.132,0.13328446935968152
1.135,0.15758431397601225
1.138,-0.14249131498774403
1.143,-0.878364455449018
1.148,-0.9748271867000438
1.153,-0.5966063597187121
1.158,-0.06927362058441577
1.163,0.04158640991071483
1.166,0.13616277390767495
1.17,0.16133128130694985
1.175,-0.497017923360322
1.179,-0.9519105120996763
1.184,-0.8013304393875904
1.189,-0.31340997005401894
1.194,0.05983589921096932
1.198,0.11223379218659124
1.201,0.2356446865039148
1.204,-0.13871102822701786
1.207,-0.7400040587271435
1.21,-1.086631335073279
1.213,-0.5320300257488428
1.217,-0.06191306802609464
1.221,0.2797414735053758
1.224,0.24030003121979115
1.227,-0.07770301700371007
1.231,-0.3562153078839776
1.236,-1.0386721128534107
1.24,-0.8397280387174026
1.245,-0.3509708138668177
1.25,0.09065858396584803
1.254,0.061918707021806796
1.257,-0.047775671941473696
1.261,-0.05479676683614043
1.266,-0.6013916614890396
1.271,-0.9755938001506723
1.275,-0.5288861211051796
1.279,0.027711598142345917
1.284,0.1345660761327978
1.288,0.1061756353477068
1.292,0.16450724094829816
1.297,-0.26483439234890005
1.301,-0.8705655544489863
1.306,-0.8661948432776665
1.31,-0.30677251351301615
1.314,0.003914589393678725
1.318,-0.06372173963076477
1.323,-0.04971084178100016
1.328,-0.06836201624082117
1.332,-0.5578557206208212
1.336,-0.993478806092388
1.339,-0.6639227547462214
1.344,-0.07400668027488111
1.347,0.010610771144211384
1.351,-0.0018785694378400386
1.355,0.11255455911963308
1.36,-0.30239328911065266
1.364,-0.9021006173926462
1.368,-0.9486219947034007
1.371,-0.44062069357255185
1.376,0.0598760167554393
1.381,0.0838988349481733
1.384,0.114105460805483
1.387,0.11148070627603568
1.392,-0.4433476116436057
1.395,-1.0349680519151288
1.398,-0.6349892690006089
1.402,-0.1906537510835009
1.405,0.11652100571408308
1.409,0.1748924882348093
1.413,0.10402825075438527
1.417,-0.24945367287374287
1.422,-0.8312442575601002
1.425,-0.9471773682594997
1.429,-0.42053780058369306
1.433,0.041263781355526774
1.438,0.027475073279459306
1.442,0.1723613432084301
1.447,0.07206943249981768
1.451,-0.4474925384537367
1.454,-0.9960895705825306
1.457,-0.8021538323589783
1.462,-0.17727021306998525
1.466,0.004606264003096161
1.469,0.1655210153761133
1.473,0.14746089474930368
1.478,-0.11309068622681595
1.482,-0.6026511045060672
1.486,-0.9043554006832495
1.489,-0.602842410193067
1.493,-0.12037304236351654
1.498,0.12638747327144007
1.502,0.08386988577674392
1.506,0.0063540920387197275
1.509,-0.3113037144029356
1.513,-0.9793360871202177
1.517,-1.0187384508505017
1.521,-0.47056653771334966
1.524,0.06702578343819665
1.529,0.026254722879896164
1.533,0.03355978759845213
1.536,0.02734401859589486
1.54,-0.5926722982264256
1.544,-1.2060477308280575
1.547,-0.7095372165394491
1.551,-0.1577508143593409
1.555,-0.024855822130182226
1.558,0.10551878704324791
1.562,0.15321818485263483
1.567,-0.28919911783888175
1.572,-1.075539296438147
1.575,-1.0032403730374604
1.578,-0.5531914087141807
1.581,-0.04539027449521704
1.586,-0.0036050128226103872
1.59,0.09140850821594126
1.594,-0.10249058119511023
1.599,-0.7499712457323904
1.603,-1.0858996582480498
1.607,-0.8411969895784672
1.61,-0.3200132213021063
1.613,-0.05203070952823863
1.616,0.1762995392157518
1.619,0.07334256817451745
1.624,-0.2518167700269385
1.629,-0.8610212691126837
1.634,-0.849570884630229
1.638,-0.6348382027346848
1.641,-0.1242308642321297
1.646,0.10803505016169668
1.649,0.24034430530930928
1.653,0.09815058875621574
1.657,-0.5396077927179359
1.662,-0.926058992844863
1.667,-0.8407866266266373
1.672,-0.3842486897887891
1.677,0.039738281516306984
1.68,0.060239364960418484
1.685,0.013285474587225732
1.69,-0.07252187780291175
1.695,-0.6291753598338157
1.699,-1.0760726861632506
1.703,-0.7294900616335815
1.706,-0.1101033790639403
1.71,0.1635958051504569
1.713,0.18515225492711318
1.718,0.1697222566473573
1.723,-0.2935198326743782
1.728,-0.9587556772473707
1.733,-1.0735983182466757
1.737,-0.46841451675270473
1.741,0.01286155189481919
1.744,0.08549681246365592
1.747,0.027522058089911372
1.75,-0.08259514603942764
1.754,-0.6395952841704688
1.758,-1.2774801071355126
1.761,-0.8104941906187455
1.765,-0.2545199789007899
1.769,0.06953249218020563
1.773,0.16171453275723602
1.777,0.0811041987541401
1.78,-0.23534987187725598
1.783,-1.1372458626514357
1.787,-1.0355257688382808
1.79,-0.49388081017406504
1.793,-0.04737834554620246
1.796,0.1443495433067774
1.8,0.07803581954390726
1.805,-0.023128106347066524
1.81,-0.8785452398787883
1.815,-1.1541955600773321
1.819,-0.8974666942229579
1.822,-0.35750594745182296
1.827,0.10312492353186187
1.831,0.07933992217204633
1.836,0.19993106489002788
1.84,-0.34029357344532185
1.843,-0.7770722787202917
1.846,-1.0212295617432074
1.851,-0.49673648751299293
1.855,-0.055569046505820285
1.859,0.09479622478609429
1.864,0.24735652270446318
1.867,-0.04791177679331593
1.871,-0.5554017054109375
1.874,-1.087354526343661
1.878,-0.8691750417538322
1.882,-0.31795374292592493
1.885,0.0330928252842102
1.89,0.1800143246791599
1.893,-0.013972640197368769
1.896,-0.24816467944457976
1.899,-0.8816214842648438
1.903,-1.1424728279879166
1.907,-0.6909565441077699
1.911,-0.19546257859920502
1.914,0.08351244092887322
1.918,-0.14626174624102806
1.922,-0.09845637290812892
1.927,-0.6648030293830631
1.931,-1.2997384956248714
1.936,-1.136251000992631
1.941,-0.5177700405824295
1.944,-0.2249855874925859
1.946,0.8895539326687039
1.95,0.8277571670142194
1.955,0.43492841792451253
1.958,-0.3942726865868167
1.963,-0.6422187029113449
1.967,-0.15572300358592717
1.982,1.8040357269289942
1.984,1.3999302555600215
1.987,1.072792650779919
1.992,0.23840009414078
1.997,-0.32442836120372576
2.0,-0.8487817978994792
2.009,0.8554846345589446
2.013,1.695716951727146
2.016,0.9648219430591145
2.022,1.1495476073613329
2.024,1.2995441014192455
2.029,0.8575202335041374
