Index,Filename,Tag,InferenceTime(s),Timestamp
1,frame_000000.tiff,Inference1,0.036,2025-06-11 13:34:00
2,frame_000001.tiff,Inference2,0.0311,2025-06-11 13:34:00
3,frame_000002.tiff,Inference3,0.0358,2025-06-11 13:34:00
4,frame_000003.tiff,Inference4,0.0354,2025-06-11 13:34:01
5,frame_000004.tiff,Inference5,0.0424,2025-06-11 13:34:01
6,frame_000005.tiff,Inference6,0.0407,2025-06-11 13:34:01
7,frame_000006.tiff,Inference7,0.0382,2025-06-11 13:34:01
8,frame_000007.tiff,Inference8,0.0352,2025-06-11 13:34:01
9,frame_000008.tiff,Inference9,0.0341,2025-06-11 13:34:01
10,frame_000009.tiff,Inference10,0.0362,2025-06-11 13:34:01
11,frame_000010.tiff,Inference11,0.0347,2025-06-11 13:34:01
12,frame_000011.tiff,Inference12,0.0378,2025-06-11 13:34:01
13,frame_000012.tiff,Inference13,0.0417,2025-06-11 13:34:01
14,frame_000013.tiff,Inference14,0.0337,2025-06-11 13:34:01
15,frame_000014.tiff,Inference15,0.0347,2025-06-11 13:34:01
16,frame_000015.tiff,Inference16,0.0466,2025-06-11 13:34:01
17,frame_000016.tiff,Inference17,0.0488,2025-06-11 13:34:01
18,frame_000017.tiff,Inference18,0.0497,2025-06-11 13:34:01
19,frame_000018.tiff,Inference19,0.0362,2025-06-11 13:34:01
20,frame_000019.tiff,Inference20,0.0382,2025-06-11 13:34:02
21,frame_000020.tiff,Inference21,0.0569,2025-06-11 13:34:02
22,frame_000021.tiff,Inference22,0.0442,2025-06-11 13:34:02
23,frame_000022.tiff,Inference23,0.0516,2025-06-11 13:34:02
24,frame_000023.tiff,Inference24,0.0555,2025-06-11 13:34:02
25,frame_000024.tiff,Inference25,0.039,2025-06-11 13:34:02
26,frame_000025.tiff,Inference26,0.0474,2025-06-11 13:34:02
27,frame_000026.tiff,Inference27,0.0478,2025-06-11 13:34:02
28,frame_000027.tiff,Inference28,0.0361,2025-06-11 13:34:02
29,frame_000028.tiff,Inference29,0.0434,2025-06-11 13:34:02
30,frame_000029.tiff,Inference30,0.0405,2025-06-11 13:34:02
31,frame_000030.tiff,Inference31,0.0421,2025-06-11 13:34:02
32,frame_000031.tiff,Inference32,0.0456,2025-06-11 13:34:02
33,frame_000032.tiff,Inference33,0.0389,2025-06-11 13:34:02
34,frame_000033.tiff,Inference34,0.0402,2025-06-11 13:34:02
35,frame_000034.tiff,Inference35,0.0375,2025-06-11 13:34:02
36,frame_000035.tiff,Inference36,0.0398,2025-06-11 13:34:02
37,frame_000036.tiff,Inference37,0.0412,2025-06-11 13:34:02
38,frame_000037.tiff,Inference38,0.0431,2025-06-11 13:34:02
39,frame_000038.tiff,Inference39,0.0453,2025-06-11 13:34:02
40,frame_000039.tiff,Inference40,0.0464,2025-06-11 13:34:02
41,frame_000040.tiff,Inference41,0.0485,2025-06-11 13:34:02
42,frame_000041.tiff,Inference42,0.0506,2025-06-11 13:34:02
43,frame_000042.tiff,Inference43,0.0527,2025-06-11 13:34:02
44,frame_000043.tiff,Inference44,0.0548,2025-06-11 13:34:02
45,frame_000044.tiff,Inference45,0.0569,2025-06-11 13:34:02
46,frame_000045.tiff,Inference46,0.059,2025-06-11 13:34:02
47,frame_000047.tiff,Inference47,0.036,2025-06-11 13:34:02
48,frame_000048.tiff,Inference48,0.0359,2025-06-11 13:34:02
49,frame_000049.tiff,Inference49,0.0317,2025-06-11 13:34:02
50,frame_000050.tiff,Inference50,0.0501,2025-06-11 13:34:02
51,frame_000051.tiff,Inference51,0.0448,2025-06-11 13:34:02
52,frame_000052.tiff,Inference52,0.0492,2025-06-11 13:34:02
53,frame_000053.tiff,Inference53,0.0434,2025-06-11 13:34:02
54,frame_000054.tiff,Inference54,0.0435,2025-06-11 13:34:02
55,frame_000055.tiff,Inference55,0.0397,2025-06-11 13:34:02
56,frame_000056.tiff,Inference56,0.0514,2025-06-11 13:34:02
57,frame_000057.tiff,Inference57,0.0468,2025-06-11 13:34:02
58,frame_000058.tiff,Inference58,0.0461,2025-06-11 13:34:02
59,frame_000059.tiff,Inference59,0.034,2025-06-11 13:34:02
60,frame_000060.tiff,Inference60,0.0473,2025-06-11 13:34:02
61,frame_000061.tiff,Inference61,0.0467,2025-06-11 13:34:03
62,frame_000062.tiff,Inference62,0.0419,2025-06-11 13:34:03
63,frame_000063.tiff,Inference63,0.0334,2025-06-11 13:34:03
64,frame_000064.tiff,Inference64,0.0444,2025-06-11 13:34:03
65,frame_000065.tiff,Inference65,0.0418,2025-06-11 13:34:03
66,frame_000066.tiff,Inference66,0.0417,2025-06-11 13:34:03
67,frame_000067.tiff,Inference67,0.0306,2025-06-11 13:34:03
68,frame_000068.tiff,Inference68,0.0401,2025-06-11 13:34:03
69,frame_000069.tiff,Inference69,0.0432,2025-06-11 13:34:03
70,frame_000070.tiff,Inference70,0.0466,2025-06-11 13:34:03
71,frame_000071.tiff,Inference71,0.046,2025-06-11 13:34:03
72,frame_000072.tiff,Inference72,0.0366,2025-06-11 13:34:03
73,frame_000073.tiff,Inference73,0.0394,2025-06-11 13:34:03
74,frame_000074.tiff,Inference74,0.0432,2025-06-11 13:34:03
75,frame_000075.tiff,Inference75,0.04,2025-06-11 13:34:03
76,frame_000076.tiff,Inference76,0.042,2025-06-11 13:34:03
77,frame_000077.tiff,Inference77,0.0417,2025-06-11 13:34:03
78,frame_000078.tiff,Inference78,0.0353,2025-06-11 13:34:03
79,frame_000079.tiff,Inference79,0.0555,2025-06-11 13:34:03
80,frame_000080.tiff,Inference80,0.0497,2025-06-11 13:34:03
81,frame_000081.tiff,Inference81,0.0392,2025-06-11 13:34:03
82,frame_000082.tiff,Inference82,0.0352,2025-06-11 13:34:03
83,frame_000083.tiff,Inference83,0.0524,2025-06-11 13:34:03
84,frame_000084.tiff,Inference84,0.0505,2025-06-11 13:34:03
85,frame_000085.tiff,Inference85,0.0441,2025-06-11 13:34:03
86,frame_000086.tiff,Inference86,0.0552,2025-06-11 13:34:03
87,frame_000087.tiff,Inference87,0.0346,2025-06-11 13:34:03
88,frame_000088.tiff,Inference88,0.047,2025-06-11 13:34:03
89,frame_000089.tiff,Inference89,0.0404,2025-06-11 13:34:03
90,frame_000090.tiff,Inference90,0.0438,2025-06-11 13:34:03
91,frame_000091.tiff,Inference91,0.0372,2025-06-11 13:34:04
92,frame_000092.tiff,Inference92,0.0442,2025-06-11 13:34:04
93,frame_000093.tiff,Inference93,0.0364,2025-06-11 13:34:04
94,frame_000094.tiff,Inference94,0.0515,2025-06-11 13:34:04
95,frame_000095.tiff,Inference95,0.0405,2025-06-11 13:34:04
96,frame_000096.tiff,Inference96,0.0339,2025-06-11 13:34:04
97,frame_000097.tiff,Inference97,0.0466,2025-06-11 13:34:04
98,frame_000098.tiff,Inference98,0.0461,2025-06-11 13:34:04
99,frame_000099.tiff,Inference99,0.0398,2025-06-11 13:34:04
100,frame_000100.tiff,Inference100,0.0483,2025-06-11 13:34:04
101,frame_000101.tiff,Inference101,0.0392,2025-06-11 13:34:04
102,frame_000102.tiff,Inference102,0.0388,2025-06-11 13:34:04
103,frame_000103.tiff,Inference103,0.0387,2025-06-11 13:34:04
104,frame_000104.tiff,Inference104,0.0468,2025-06-11 13:34:04
105,frame_000105.tiff,Inference105,0.0383,2025-06-11 13:34:04
106,frame_000106.tiff,Inference106,0.0381,2025-06-11 13:34:04
107,frame_000107.tiff,Inference107,0.0438,2025-06-11 13:34:04
108,frame_000108.tiff,Inference108,0.0441,2025-06-11 13:34:04
109,frame_000109.tiff,Inference109,0.0456,2025-06-11 13:34:04
110,frame_000110.tiff,Inference110,0.0399,2025-06-11 13:34:04
111,frame_000111.tiff,Inference111,0.0479,2025-06-11 13:34:04
112,frame_000112.tiff,Inference112,0.0535,2025-06-11 13:34:04
113,frame_000113.tiff,Inference113,0.0411,2025-06-11 13:34:04
114,frame_000114.tiff,Inference114,0.0359,2025-06-11 13:34:04
115,frame_000115.tiff,Inference115,0.0377,2025-06-11 13:34:04
116,frame_000116.tiff,Inference116,0.048,2025-06-11 13:34:04
117,frame_000117.tiff,Inference117,0.035,2025-06-11 13:34:04
118,frame_000118.tiff,Inference118,0.0512,2025-06-11 13:34:04
119,frame_000119.tiff,Inference119,0.0429,2025-06-11 13:34:04
120,frame_000120.tiff,Inference120,0.0449,2025-06-11 13:34:04
121,frame_000121.tiff,Inference121,0.03,2025-06-11 13:34:05
122,frame_000122.tiff,Inference122,0.035,2025-06-11 13:34:05
123,frame_000123.tiff,Inference123,0.033,2025-06-11 13:34:05
124,frame_000124.tiff,Inference124,0.0525,2025-06-11 13:34:05
125,frame_000125.tiff,Inference125,0.0374,2025-06-11 13:34:05
126,frame_000126.tiff,Inference126,0.041,2025-06-11 13:34:05
127,frame_000127.tiff,Inference127,0.0424,2025-06-11 13:34:05
128,frame_000128.tiff,Inference128,0.0459,2025-06-11 13:34:05
129,frame_000129.tiff,Inference129,0.0439,2025-06-11 13:34:05
130,frame_000130.tiff,Inference130,0.0419,2025-06-11 13:34:05
131,frame_000131.tiff,Inference131,0.0373,2025-06-11 13:34:05
132,frame_000132.tiff,Inference132,0.045,2025-06-11 13:34:05
133,frame_000133.tiff,Inference133,0.033,2025-06-11 13:34:05
134,frame_000134.tiff,Inference134,0.0507,2025-06-11 13:34:05
135,frame_000135.tiff,Inference135,0.0394,2025-06-11 13:34:05
136,frame_000136.tiff,Inference136,0.0432,2025-06-11 13:34:05
137,frame_000137.tiff,Inference137,0.0454,2025-06-11 13:34:05
138,frame_000138.tiff,Inference138,0.0348,2025-06-11 13:34:05
139,frame_000139.tiff,Inference139,0.0417,2025-06-11 13:34:05
140,frame_000140.tiff,Inference140,0.0421,2025-06-11 13:34:05
141,frame_000141.tiff,Inference141,0.0533,2025-06-11 13:34:05
142,frame_000142.tiff,Inference142,0.036,2025-06-11 13:34:05
143,frame_000143.tiff,Inference143,0.0359,2025-06-11 13:34:05
144,frame_000144.tiff,Inference144,0.0506,2025-06-11 13:34:05
145,frame_000145.tiff,Inference145,0.0416,2025-06-11 13:34:05
146,frame_000146.tiff,Inference146,0.0425,2025-06-11 13:34:05
147,frame_000147.tiff,Inference147,0.0467,2025-06-11 13:34:05
